Agency,# Of Positions,Civil Service Title,Posting Date,Preferred Skills,Salary Range From (Annual),Salary Range To (Annual),Mean Annual Salary
DEPT OF DESIGN & CONSTRUCTION,1,MECHANICAL ENGINEER,2025-12-23,"Candidates should thoroughly understand building construction methods, materials, and assemblies, especially older 19th and 20th centuries buildings. Expertise in the forensic diagnosis of deterioration, distress, and failure issues is highly desirable, as well as an up-to-date understanding of construction and material costs. At least 5 years of prior relevant field inspection experience is required. This position requires a person with the physical ability to conduct site visits, including accessing stairs, catwalks, ladders, rooftops, and basements within multi-level buildings, and maneuver through confined spaces. The candidate must be able to communicate both verbally and in writing effectively. A valid motor vehicle driver’s license is required.",78740,90551,84646
DEPT OF ENVIRONMENT PROTECTION,1,ADMINISTRATOR OF SLUDGE VESSEL,2026-01-06,,83718,223299,153508
DEPT OF HEALTH/MENTAL HYGIENE,1,CITY RESEARCH SCIENTIST,2025-04-22,,84981,84981,84981
DEPT OF DESIGN & CONSTRUCTION,3,ASSISTANT CIVIL ENGINEER,2025-12-18,"Please note the following preferred skills for this position: 1.	Outstanding verbal and written communication skills 2.	Proficiency in Microsoft Office and AutoCAD 3.	Construction knowledge relevant to infrastructure projects (sewers, water mains, roadways) 4.	Familiarity with NYC DOT, NYS DOT, NYC DEP specifications, MUTCD, and AASHTO standards 5.	Comprehensive understanding of the NYC infrastructure system and current engineering practices 6.	Proficiency in Primavera P6 scheduling and Envision Sustainability Professional (ENV SP) credential (preferred) 7.	Valid driver's license (required) 8.	Personal vehicle (optional)",64242,73878,69060
DEPT OF ENVIRONMENT PROTECTION,1,AGENCY ATTORNEY,2026-01-26,"• Familiarity with workplace regulatory or compliance standards. • Excellent analytical and problem-solving skills. • Excellent written, verbal, and interpersonal skills. • Experience conducting investigations, analyzing data, and preparing comprehensive reports. • Familiarity with action plan development and implementation.",83000,100223,91612
DEPT OF ENVIRONMENT PROTECTION,1,CIVIL ENGINEERING INTERN,2026-02-02,NYS Driver’s License is required.,59747,68709,64228
TAX COMMISSION,1,AGENCY ATTORNEY,2025-10-17,,96638,146052,121345
CONSUMER AND WORKER PROTECTION,1,AGENCY ATTORNEY INTERNE,2025-12-05,"•	Demonstrated excellent verbal, written, interpersonal, analytical, problem-solving and time management skills; •	Proficient in conducting legal research and undertaking factual investigations, including reviewing documents and conducting witness interviews and depositions; •	Demonstrated excellent legal research, writing skills and negotiation skills; •	Comfort with data-driven analysis and strategic planning; •	Able to effectively interact with multi-functional teams comprised of attorney and non-attorney staff; •	Able to effectively manage multiple priorities with competing deadlines; •	References that can confirm legal skills.",72510,83388,77949
TECHNOLOGY & INNOVATION,1,COLLEGE AIDE (ALL CITY DEPTS),2026-01-07,"The successful candidate should possess the following:  •	Exceptional written and oral communication skills.  •	Excellent organizational and planning. •	Excellent work ethic, time management, and multi-tasking ability.  •	Intermediate Excel skills and is proficient in Microsoft 365.  •	Work well independently and in a small team setting, and pays close attention to details.",36400,44512,40456
DEPT OF ENVIRONMENT PROTECTION,1,ENGINEERING TECHNICIAN,2026-01-27,,65157,90808,77982
