Agency,# Of Positions,Civil Service Title,Posting Date,Preferred Skills,Salary Range From (Annual),Salary Range To (Annual),Mean Annual Salary
HOUSING PRESERVATION & DVLPMNT,1,INVESTIGATOR (EMPLOYEE DISCIPL,2026-01-21,,58797,67617,63207
DEPARTMENT OF TRANSPORTATION,1,PRINCIPAL ADMINISTRATIVE ASSOC,2026-01-15,"Knowledge of Procurement Policy Board rules (PPB) Experience with FMS and Passport Excellent oral and written communications skills Proficiency in Microsoft Office Suite applications, Specifically Microsoft Excel Very good interpersonal and organizational skills.",66062,100958,83510
DEPARTMENT OF BUILDINGS,1,AGENCY ATTORNEY,2026-01-28,"•	Excellent writing, legal research, and analytical skills.  •	Familiarity with the NYC Construction Codes, NYC Electrical Code, the New York City Charter, NYS Multiple Dwelling Law, NYC Housing Maintenance Code, NYC Zoning Resolution  •	Familiarity with City and State legislative process.¿   •	Code drafting or related experience.  •	Proficiency with computer software such as Microsoft Excel, Microsoft Word, and Microsoft PowerPoint.",73476,84498,78987
DEPT OF ENVIRONMENT PROTECTION,1,INDUSTRIAL HYGIENIST,2026-01-23,"• Knowledge of Microsoft Office Suite including Word, Excel and Power Point  • Knowledge of NYC DEP EHS Policies and Procedures  • Knowledge of OSHA/PESH Health and Safety Laws and Regulations  • Knowledge of US EPA RCRA Hazardous Waste Regulations  • Knowledge of US DOT Hazardous Material Transportation Regulations  • Research and interpretation abilities adequate to understand and apply relevant EHS laws, standards and policies in the work place  •  Ability to perform basic mathematical and statistical calculations  • Ability to write, review and edit technical reports  • Ability to use basic industrial hygiene instrumentation and tools.  Ability to operate a motor vehicle in the performance of assigned duties to make frequent site visits to remote facilities  • Interpersonal and communication skills adequate to work with facility staff EHS team members in order to engage them to provide recommendations for continuous improvement and on-going education processes  • Technical Skill in Industrial Hygiene and Safety Auditing and Inspections  • Experience in regulatory research   • Technical Writing and Database Manipulation skills  • Communication Skills and Training  • Time Management skills",65123,87526,76324
DEPT OF HEALTH/MENTAL HYGIENE,1,CITY RESEARCH SCIENTIST,2025-11-13,,106117,125256,115686
LAW DEPARTMENT,1,ASSISTANT CORPORATION COUNSEL,2026-01-22,,87550,175100,131325
DEPT OF DESIGN & CONSTRUCTION,1,GEOLOGIST,2026-01-12,"Candidates should have two years of experience in geotechnical/environmental field inspection experience in NYC. Holding any of the following is a plus: OSHA 40-hour Hazwoper; OSHA 10 or 30-hour Construction Safety Certificate; and thorough knowledge of federal, state, and local environmental regulations, including NYSDEC, NYCDEP, FHWA, CEQR, SEQR, RCRA, OSHA, and NYC DOB. Candidates should have excellent verbal, written, communication and computer skills. Candidates will be required to perform fieldwork and don the appropriate personal protective equipment including safety footwear and safety helmet or hard hat. This position requires candidates to hold a valid Motor Vehicle Driver’s License and have the ability to drive in all 5 boroughs of NYC for the duration of employment.",78740,90551,84646
DEPT OF ENVIRONMENT PROTECTION,1,ADMINISTRATIVE ENGINEER,2026-02-02,,83718,223299,153508
HUMAN RIGHTS COMMISSION,1,COMMUNITY ASSISTANT,2025-12-18,"• Experience with investigations, compliance work, customer service or social justice fields is helpful but not required. • Excellent written communication skills, including the ability to prepare clear, detailed, and objective reports. • Strong interpersonal skills to interact naturally with housing providers and employers during a test. • Strong time management skills, including the ability to meet strict reporting and debrief deadlines. • Ability to remain neutral and unbiased, in difficult or sensitive testing situations. • Knowledge of the NYC Human Rights Law. • Ability to maintain confidentiality and handle sensitive information appropriately. • Valid driver’s license. • Fluency in Spanish, Arabic, Mandarin or another language common in NYC is a plus.",43306,43306,43306
CONSUMER AND WORKER PROTECTION,1,AGENCY ATTORNEY,2026-01-30,"•	Demonstrated excellent verbal, written, interpersonal, analytical, problem-solving and time management skills; •	Proficiency in conducting legal research and undertaking factual investigations, including reviewing documents and conducting witness interviews; •	Excellent work ethic and desire to join a dynamic team working collaboratively; •	Experience in or interest in consumer debt issues; •	Demonstrated excellent legal research, writing skills and negotiation skills;  •	Comfort with data-driven analysis and strategic planning;  •	Ability to effectively interact with multi-functional teams comprised of attorney and non-attorney staff;  •	Ability to effectively manage multiple priorities with competing deadlines;  •	Litigation experience, including in New York State courts and before OATH; •	References that can confirm legal skills; and  •	Experience and knowledge in consumer protection laws or administrative law is preferred.",83000,95450,89225
DEPT OF DESIGN & CONSTRUCTION,1,ASSISTANT CIVIL ENGINEER,2025-12-23,"Please note the following preferred skills for this position:  1. Outstanding verbal and written communication skills 2. Proficiency in Microsoft Office and AutoCAD 3. Construction knowledge relevant to infrastructure work (i.e., roadway, sewer, and/or water main) 4. Familiarity with NYC DOT, NYS DOT, NYC DEP specifications, MUTCD, and AASHTO standards 5. Comprehensive understanding of the NYC infrastructure system and current engineering practices 6. Proficiency in Primavera P6 scheduling and Envision Sustainability Professional (ENV SP) credential (preferred) 7. Valid driver's license (required) 8. Personal vehicle (preferred)",66330,76279,71304
DEPT OF HEALTH/MENTAL HYGIENE,1,X-RAY TECHNICIAN,2024-03-26,,53750,62121,57936
HRA/DEPT OF SOCIAL SERVICES,2,ASSOCIATE BENEFITS OPPORTUNITY,2025-12-24,,60275,95392,77834
DEPT OF DESIGN & CONSTRUCTION,3,CONSTRUCTION PROJECT MANAGER,2025-12-23,"Please note the following preferred skills for this position:  1.	Should have three years or more of inspection experience and knowledge of various types of capital construction and consultant contracts. 2.	Possess construction experience related to infrastructure work (i.e., roadway, sewer, and/or water main) 3.	Outstanding verbal and written communication skills 4.	Proficiency in Microsoft Office and AutoCAD 5.	Familiarity with NYC DOT, NYS DOT, NYC DEP specifications, MUTCD, and AASHTO standards 6.	Comprehensive understanding of the NYC infrastructure system and current engineering practices 7.	Proficiency in Primavera P6 scheduling and Envision Sustainability Professional (ENV SP) credential (preferred) 8.	Valid driver's license (required) 9.	Personal vehicle (preferred)",76262,87701,81982
DEPT OF HEALTH/MENTAL HYGIENE,1,FAMILY PUB HEALTH NURSE (HMH),2026-01-07,,103169,103169,103169
CONSUMER AND WORKER PROTECTION,1,INSPECTOR (CONSUMER AND WORKER,2026-01-26,•	Strong written and oral communication skills; •	Proficiency in Microsoft programs; •	Fluency in a language in addition to English a plus; •	Detail oriented and organized; and •	Candidate must be experienced and comfortable driving any city vehicle (which may include a large vehicle) throughout the five boroughs of New York City.,49396,56805,53100
FINANCIAL INFO SVCS AGENCY,1,STAFF ANALYST,2025-12-15,,72595,92976,82786
NYC HOUSING AUTHORITY,1,COMMUNITY ASSOCIATE,2026-01-20,1. Experience conducting physical apartment inspections for public housing and Section 8 programs; and/or 2. Experience with IPM. 3. Basic computer skills; experience using Microsoft Outlook.,44545,74134,59340
NYC HOUSING AUTHORITY,1,CITY RESEARCH SCIENTIST,2026-01-22,"1.           Must know Oracle SQL and Power BI, Python, ML Algorithms, Statistics.  2.           Advance knowledge in Microsoft Excel, creating formulas; pivots; data visualization. 3.           Working knowledge of Smartsheet, tools, methods, and concepts of quality assurance. 4.           Ability to use data and metrics to drive decisions and measure performance. 5.           Exceptional interpersonal skills, including verbal and written communications, executive staff management and conflict resolution 6.           Excellent administrative and organizational skills. 7.           Ability to manage relationships, balance competing priorities, and manage up and down. 8.           Experience managing high-priority projects and tracking project life-cycles. 9.           Experience working collaboratively to develop and execute project plans. 10.        Ability to make timely and effective decisions and produce results through strategic planning. 11.        Firm working knowledge of Microsoft Project, Word, and Excel. 12.        A leader with the ability to cultivate creativity and innovation while enforcing accountability and maintaining high levels of work ethic. 13.        Experience collaborating with a diversity of cultures and sensitive to the challenges of low-income populations.  14.        Knowledge in housing, health and/or environmental policy is a plus.",87743,110120,98932
DEPT OF ENVIRONMENT PROTECTION,2,ASSOCIATE PUBLIC HEALTH SANITA,2023-08-13,Working Instruments: Office – Computers and other office equipment. Field – Four (4) gas air monitors; sound level meters; mercury and ammonia gas meters; dosimetry equipment; others.   Health and Safety Working Conditions: Environment and Physical: 1. Duties include both field activities and office activities. 2. Office activities include using computers and other office equipment; filing; document management; etc. 3. Field activities occur throughout the assigned Wastewater Resource Recovery Facility.,66042,102646,84344
HOUSING PRESERVATION & DVLPMNT,1,EXECUTIVE AGENCY COUNSEL,2026-01-21,,120000,130000,125000
OFF OF PAYROLL ADMINISTRATION,1,CLERICAL ASSOCIATE,2025-12-12,,46503,73002,59752
OFFICE OF CRIMINAL JUSTICE,2,EXECUTIVE AGENCY COUNSEL,2025-05-20,,66066,175000,120533
DEPT OF ENVIRONMENT PROTECTION,1,ASSISTANT CIVIL ENGINEER,2025-10-23,,66330,99528,82929
DEPT OF HEALTH/MENTAL HYGIENE,1,COMMUNITY COORDINATOR,2025-09-02,,62868,72298,67583
DEPARTMENT OF PROBATION,4,CITY RESEARCH SCIENTIST,2026-01-13,Candidates should possess a Licensed Master of Social Work.,87743,110120,98932
DEPT OF YOUTH & COMM DEV SRVS,1,CITY RESEARCH SCIENTIST,2025-11-21,"• Excellent leadership, organizational and communication skills.  • Demonstrated leadership and managerial skills, including managing teams and working with peers across the organization.  • Deeply motivated, capable of making sound independent judgments, and adept at exercising appropriate discretion when interacting with diverse stakeholder.  • Knowledge of the City’s Financial Management System (FMS), BOXI/Info Advantage, Passport, Power BI and Excel.",109565,135000,122282
DEPT OF YOUTH & COMM DEV SRVS,1,PROCUREMENT ANALYST,2025-11-21,"-Familiar with and knowledge of New York City's Procurement Policy Board Rules, Citywide Procurement systems such as FMS and PASSport. -3-5 years of procurement experience within NYC government.  -Strong analytical and organizational skills.  -Excellent writing, interpersonal, customer service and presentation skills. Advanced Microsoft Excel and Word skills  -Ability to adapt to a fast-paced work environment and changing needs and priorities  -Ability to effectively multi-task and prioritize  -Ability to work independently and as part of a team",57370,84000,70685
DEPT OF HEALTH/MENTAL HYGIENE,1,AGENCY MEDICAL DIRECTOR,2025-10-10,,113690,261048,187369
DEPT OF YOUTH & COMM DEV SRVS,1,COMMUNITY COORDINATOR,2025-12-24,"Background in working with community-based organizations.   • Experience or knowledge of after-school or other youth development programming.  • Strong written and verbal communication skills.  • Computer literate with advanced knowledge of Microsoft: Word, Excel, and Outlook.  • Familiarity with DYCD’s data system; DYCD CONNECT experience preferred.",62868,97593,80230
POLICE DEPARTMENT,1,CITY RESEARCH SCIENTIST,2026-01-23,"The ideal candidate will demonstrate the following: - Strong analytical, administrative, organizational, and communication skills, with the ability to engage effectively and independently with executive-level stakeholders - Proven ability to quickly synthesize complex information and convey it clearly and concisely - Familiarity with public-sector operations, preferably within New York City, as well as experience in law enforcement or large, complex government environments",109565,142112,125838
HRA/DEPT OF SOCIAL SERVICES,1,SUPERVISOR III (SOCIAL SERVICE,2026-01-08,,74781,85998,80390
DEPT OF HEALTH/MENTAL HYGIENE,1,COLLEGE AIDE (ALL CITY DEPTS),2025-10-10,,35360,44512,39936
NYC HOUSING AUTHORITY,1,MAINTENANCE WORKER,2026-01-22,,70179,72925,71552
DEPARTMENT OF FINANCE,1,ASSOCIATE COMMISSIONER (FINANC,2026-01-27,"•15+ years of progressively responsible, major software development and IT management experience, directly relevant to performing the role's responsibilities with at least 7 years' experience managing direct reports. Some experience as an IT manager of managers is a strong plus. •At least 7 years' experience as a software developer using agile, kanban, and scrum methodologies with some exposure to waterfall and hybrid. •A bachelor’s degree in computer science or a closely related field is strongly preferred. A graduate degree in computer science or a closely related field is a strong plus.  •Strong enthusiasm relating to IT innovation, digital transformation technologies, and technological reform is anticipated. •A proven track record of leading on-prem to cloud migration projects to completion at large complex IT organizations. •Hands on experience with AWS, Azure, API and integrations, cloud and network architecture, and SaaS ecosystem interoperability projects. •Results are oriented with a sense of urgency and a commitment to excellence coupled with the proven ability and organizational skills to drive projects and issues to closure.  •Demonstrated ability to lead, inspire, and manage a diverse staff of professionals. •Distinctive blend of business, IT, financial, collaboration, and communication skills. This blend is vital because this is a highly visible position with substantial impact. •Outstanding presentation skills to both technical and executive audiences, whether impromptu on a whiteboard or using presentations and demos.  •A proven track record of strategy development and execution within the financial services industry and/or the public sector is a strong plus.",215000,224000,219500
HRA/DEPT OF SOCIAL SERVICES,1,CLERICAL ASSOCIATE,2025-12-18,,42288,48631,45460
DEPT OF DESIGN & CONSTRUCTION,1,ASSOCIATE PROJECT MANAGER,2024-12-27,"The candidates should have the ability to manage; complete multiple multi-trade projects on schedule; possess strong computer, organizational, verbal, and written communication skills. Detail-orientation is required. Familiarity with securing approvals and signoff from regulatory agencies such as DOB and FDNY, and multiple project delivery methodologies is preferred.",84018,96621,90320
DEPT OF ENVIRONMENT PROTECTION,3,MACHINIST,2025-12-09,1. Machinist knowledge/skills. 2. Safety knowledge. 3. Use of machine shop equipment and related hand tools.,90106,104894,97500
DEPARTMENT OF CITY PLANNING,1,CITY PLANNER,2025-12-16,"-	Extensive experience with ArcGIS or similar experience that will support fast, deep learning of ArcGIS Pro. -	Strong written and verbal communication skills -	Ability to monitor and coordinate multiple projects simultaneously, meet strict deadlines and quickly respond to departmental priorities. -	Strong attention to detail in research, analysis, and review of written materials, maps and plans. -	Strong interpersonal skills and the ability to work effectively with different personalities and roles. -	Experience with the NYC City Map, zoning and land use processes is a plus.",75777,87144,81460
DEPT OF RECORDS & INFO SERVICE,1,PUBLIC RECORDS OFFICER,2025-11-21,"•	One year full-time professional experience in archival digitization work and/or digital photography •	Demonstrated familiarity with digital photography, camera equipment and Capture One software •	Demonstrated ability to perform careful physical handling of original materials during the digitization process •	Comprehensive knowledge of Adobe Creative Cloud products",58334,58334,58334
OFFICE OF MANAGEMENT & BUDGET,1,BUDGET ANALYST (OMB),2026-01-02,,60764,77327,69046
DEPT OF HEALTH/MENTAL HYGIENE,1,ADMINISTRATIVE ACCOUNTANT (NON,2026-01-29,,68214,105000,86607
DEPT OF PARKS & RECREATION,7,PAINTER,2026-01-15,"1.	Able to lift heavy objects and move large furniture. 2.	Ability to use handheld devices to track work orders. 3.	Ability to work flexible hours, nights and weekends as needed. 4.	Strong customer service, organizational and communication skills.",108805,108805,108805
DEPT OF DESIGN & CONSTRUCTION,1,CIVIL ENGINEER,2025-12-18,"Please note the following preferred skills for this position: 1.	Must have strong supervisory experience.  2.	Outstanding verbal and written communication skills. 3.	Proficiency in Microsoft Office and AutoCAD. 4.	Construction knowledge relevant to infrastructure projects (sewers, water mains, roadways) 5.	Knowledge and experience of Joint Bid and FHWA Federally funded Contract Specifications and requirements, contemporary engineering methods and standards. 6.	Familiarity with NYC DOT, NYS DOT, NYC DEP specifications, MUTCD, and AASHTO standards 7.	Comprehensive understanding of the NYC infrastructure system and current engineering practices 8.	experience with Design-Build and stormwater management projects, as well as a background in sustainable and resilient design and rating systems 9.	Envision Sustainability Professional (ENV SP) credential (preferred) 10.	Proficiency in Primavera P6 scheduling.  11.	Valid driver's license (required) 12.	Personal vehicle (optional)",93614,107656,100635
DEPT OF DESIGN & CONSTRUCTION,1,ASBESTOS HANDLER,2025-10-17,"Candidates should have at least four years of experience managing complex design and construction projects, including schedule, risk, and cost management experience. Candidates should possess excellent management and organizational skills. Candidates should possess strong verbal and written communication skills and demonstrate ability to work in a team setting. Candidates should demonstrate an ability to balance multiple priorities and perform tasks across multiple projects at various stages of development and implementation. Proficiency in MS Office is preferred, and familiarity with Bluebeam is preferred.",82844,93614,88229
POLICE DEPARTMENT,1,CITY RESEARCH SCIENTIST,2026-01-22,"•Experience designing and developing full-stack software applications using Python, SQL, and/or R. •Experience designing and developing statistical and machine learning models (e.g. scikit-learn, statsmodels, PyTorch). •Ability to design and develop metrics to measure business objectives and improve the operational effectiveness of the Department. •Ability to design and develop data visualizations and business communication for department leadership to improve organizational decision making (e.g. Pandas, Numpy, Matplotlib). •Ability to work with unstructured data, such as text, geospatial, and network data is preferred (e.g. NLTK, GeoPy, networkx). •Ability to write clean and simple code to automate business tools such as Word, Excel, PowerPoint, ArcGIS, and PowerBI is preferred. •Excellent oral, written, analytic, organizational, and interpersonal skills and attention to detail are required. •Ability to manage multiple projects simultaneously and meet tight deadlines. •Ability to work both independently and on a team. •Ability to work cross-functionally to strengthen relationships with internal stakeholders, agencies, and academic institutions. •Knowledge and understanding of criminal justice policy and research literature is preferred.",98159,128995,113577
CAMPAIGN FINANCE BOARD,1,ANALYST CFB AL 2&3 ONLY,2025-11-19,,100000,110000,105000
BRONX DISTRICT ATTORNEY,1,COMMUNITY ASSOCIATE,2026-01-13,,67000,67000,67000
NYC HOUSING AUTHORITY,1,COMMUNITY COORDINATOR,2026-01-29,"•	Experience working with diverse communities, especially in public housing.   •	Ability to maintain composure under pressure.  •	Proficiency in Spanish, Russian, or Mandarin or Cantonese Chinese.  •	Background and/or familiarity with NYC construction is preferred.   •	Ability to distill significant amounts of information and identify most important points.  •	Ability to prioritize and successfully carry out multiple assignments, meeting critical deadlines and timeframes and must be well-organized.  •	Ability to work independently to successfully handle new or difficult situations and environments.  •	Excellent interpersonal and communication skills including public speaking.  •	Knowledge of U.S. Department of Housing and Urban Development, New York State and City regulations related to pubic and affordable housing, as well as prior experience with public or affordable housing, is a strong plus.",72000,82000,77000
PRESIDENT BOROUGH OF MANHATTAN,1,SECRETARY TO THE DEPUTY BORO P,2026-01-14,"•	Bachelor’s degree •	Exceptional writing and editing skills across formats: press, digital, long-form, speeches, testimony, and op-eds •	Proven experience managing media relations and press events •	Demonstrated ability to think strategically and execute communications in a digital-first, social-media environment •	Experience supporting and maintaining an official website and publishing across social platforms •	Familiarity with video and audio scripting, producing, and editing strongly preferred •	Knowledge of government, education, or nonprofit ecosystems, particularly in New York City •	Collaborative working style, strong multitasking ability, and comfort operating under tight deadlines •	Proficiency with modern communications tools and platforms, including: Mailchimp, Microsoft Office, WordPress, livestream platforms, Meta (Facebook/Instagram), X, Linked In, YouTube, and emerging social channels •	Spanish or Chinese language skills are a plus •	 This is not an entry-level position.",70000,80000,75000
DEPT OF DESIGN & CONSTRUCTION,1,COMPUTER SPECIALIST (SOFTWARE),2025-12-18,"•Candidates should have knowledge of software QA methodologies, tools, processes, and experience in writing clear, concise, and comprehensive test plans and test cases.  •Scripting and working in an Agile/Scrum development process.  •SQL Server Database Testing: Validate tables, views, functions, stored procedures, and SSIS packages ensuring data integrity and performance. •C# / .NET 6.0: Ability to review, test, and debug  backend services, APIs, and integrated applications built in C#. •Entity Framework Core 7.0: Knowledge of ORM based testing and database validation techniques. •Angular 13.2.0 & Angular Material 13.3.9: UI/UX testing experience, verifying component interactions, accessibility, responsiveness, and frontend logic. Automating frontend tests for Angular based applications. •Security Testing – Ensuring role based access control (RBAC) and data protection. •ArcGIS: Experience in GIS mapping validation, spatial data testing, and verifying geospatial integration functionality is a plus.",95233,109518,102376
MAYORS OFFICE OF CONTRACT SVCS,1,RESEARCH PROJECTS COOR(MA)-MGR,2025-12-17,,115000,142488,128744
DEPT OF YOUTH & COMM DEV SRVS,1,COLLEGE AIDE (ALL CITY DEPTS),2025-11-21,"-Must be currently enrolled in an accredited undergraduate or graduate degree program, preferably in Public Administration, Business, Data Analytics, Political Science, Information Systems or a related field.   -Strong organizational and time management skills, with the ability to multitask and meet deadlines.   -Proficient in Microsoft Office Suite (especially Excel, Word, PowerPoint) familiarity with data visualization tools is a plus.   -Excellent written and verbal communication skills. -Demonstrated interest in government operations, public policy, or organizational development.   -Ability to work collaboratively in a team environment and communicate effectively with staff across the agency.",35360,44512,39936
DEPT OF ENVIRONMENT PROTECTION,1,ADMINISTRATIVE PROJECT MANAGER,2026-01-15,,94050,242675,168362
DEPT OF ENVIRONMENT PROTECTION,1,CIVIL ENGINEERING INTERN,2026-01-21,"1. Aptitude in reviewing and interpreting engineering drawings, plans, reports, and specifications. 2. Excellent oral & written communication skills, as well as professional writing skills. 3. Experience with using Microsoft Office suite, GIS applications, Adobe Acrobat is preferred. 4. NYS Driver’s License.",59747,68709,64228
NYC HOUSING AUTHORITY,1,HOUSING ASSISTANT (HA),2026-01-28,"•	Extensive knowledge in the Siebel Database, Excel, and NYCHA’s Termination of Tenancy Procedures. •	Knowledge of CRD and the preparation of Chronic Delinquency Specification of Charges. •	Knowledge of the Annual Review Process and the completion of Annual Review/Rent Calculations. •	Excellent communication skills with team members and external parties along with great writing skills. •	Well organized. •	Team player. •	Great time management skills.",44005,71320,57662
DISTRICT ATTORNEY-MANHATTAN,1,COMMUNITY ASSOCIATE,2026-01-22,,56942,60410,58676
DEPT OF HEALTH/MENTAL HYGIENE,1,IT AUTOMATION AND MONITORING E,2025-12-11,,75000,123806,99403
DEPT OF ENVIRONMENT PROTECTION,1,ADMINISTRATIVE ENGINEER,2026-01-06,"•	Advanced degree in engineering, environmental science, sustainability or related field. •	Project Management Professional, or other applicable license(s) or certification(s). •	Experience in creating, leading, and directing high-performance teams.  •	High-level functional technical and scientific knowledge and skill in a large organization, public utility or large wastewater programs. •	Ability to work closely with treatment and conveyance systems operations staff on planning, performance, optimization and Standard Operating Procedures.  •	Knowledge of whole systems analysis, process engineering, process improvement, lean management philosophy, six sigma or other related continuous improvement processes. •	Strong organization and project management skills. Ability to manage multiple tasks and experience working and managing through complex systems. •	Advanced experience with strategic planning, personnel management, and budgeting. •	Ability to establish and maintain effective working relationships with federal, state, regional and local agencies, union leaders, community leaders and the general public. •	Strong written and verbal communication skills and experience with diverse workforce.",94050,242675,168362
DEPT OF DESIGN & CONSTRUCTION,2,ASSOCIATE PROJECT MANAGER,2025-12-18,"Candidates should have at least five years of experience managing complex design and construction projects, including schedule, risk, and cost management experience. Candidates should possess excellent management and organizational skills. Candidates should possess strong verbal and written communication skills and demonstrate ability to work in a team setting. Candidates should demonstrate an ability to balance multiple priorities and perform tasks across multiple projects at various stages of development and implementation. Proficiency in MS Office is preferred, and familiarity with Bluebeam is preferred.",78740,96472,87606
DEPT OF DESIGN & CONSTRUCTION,1,CIVIL ENGINEERING INTERN,2025-12-23,"Please note the following preferred skills for this position:  1.	Outstanding verbal and written communication skills 2.	Proficiency in Microsoft Office and AutoCAD 3.	Construction knowledge relevant to infrastructure work (i.e., roadway, sewer, and/or water main) 4.	Familiarity with NYC DOT, NYS DOT, NYC DEP specifications, MUTCD, and AASHTO standards 5.	Comprehensive understanding of the NYC infrastructure system and current engineering practices 6.	Proficiency in Primavera P6 scheduling and Envision Sustainability Professional (ENV SP) credential (preferred) 7.	Valid driver's license (required) 8.	Personal vehicle (optional)",57866,66546,62206
FIRE DEPARTMENT,1,AGENCY ATTORNEY,2024-12-16,Excellent legal judgment and writing skills. Excellent communication and computer skills. Ability to work with and/or supervise non-legal staff.,89613,132293,110953
DEPT OF HEALTH/MENTAL HYGIENE,1,PRINCIPAL ADMINISTRATIVE ASSOC,2025-11-17,"•	Proficient in the use of Microsoft applications including Word, Excel, PowerPoint, and Outlook  •	Excellent oral and written communication skills  •	Strong attention to details and organizational skills",53370,61376,57373
CONFLICTS OF INTEREST BOARD,1,EXECUTIVE AGENCY COUNSEL,2026-01-12,"Admission to the New York State Bar; and three years of recent full-time responsible, relevant, satisfactory legal experience subsequent to admission to any bar, eighteen months of which must have been in the supervision of other attorneys, in an administrative, managerial or executive capacity, or performing highly complex and significant legal work. Incumbents must remain Members of the New York State Bar in good standing for the duration of this employment.  The successful candidate must possess the maturity, discretion, and judgment necessary for the handling of a myriad of sensitive, and often confidential matters. Strong writing and analytical skills are also required, as is a temperament suitable to work in and help lead a small, collegial law office. Prior government experience is also preferred.",120000,130000,125000
DEPT OF HEALTH/MENTAL HYGIENE,1,ADMINISTRATIVE PUBLIC HEALTH N,2025-12-08,,68213,160000,114106
BRONX DISTRICT ATTORNEY,1,ASSISTANT DISTRICT ATTORNEY (S,2025-11-17,,207500,220500,214000
MAYORS OFFICE OF CONTRACT SVCS,1,RESEARCH PROJECTS COOR(MA)-MGR,2025-10-30,,85000,97082,91041
DEPT OF HEALTH/MENTAL HYGIENE,1,ADMINISTRATIVE ACCOUNTANT (NON,2025-10-08,,68214,115000,91607
HOUSING PRESERVATION & DVLPMNT,1,EXECUTIVE AGENCY COUNSEL,2026-01-21,,120000,130000,125000
DEPARTMENT OF TRANSPORTATION,1,ASSISTANT CIVIL ENGINEER,2025-12-09,"Preference will be given to candidate who possess a driver's license valid in the state of New York.    ***In order to be considered for this position candidate must be serving permanently in the title of Assistant Civil Engineer, or must have filed, passed and be reachable on the civil service list for exam #5015, and provide proof of filing, or be eligible under the 55a program.***",66330,99528,82929
PRESIDENT BOROUGH OF MANHATTAN,1,COMMUNITY PLANNING BOARD COORD,2026-01-13,"•	Baccalaureate Degree •	At least two years of public service experience strongly preferred, i.e. community organizing, campaign, government, or non-profit work experience •	Familiarity with the issues facing Manhattan communities including some knowledge of the areas included in Community Boards 9 & 10. Be prepared to identify key issues on each of these boards if chosen to interview with the MBPO •	Strong organizational skills including the ability to prioritize, meet deadlines and maintain consistent attention to details •	Outstanding communication, interpersonal and organizational skills •	Excellent written and public speaking abilities •	Flexibility regarding work hours must be available to work nights and weekends •	Ability to work well under pressure •	Bilingual (Spanish)",63000,63000,63000
DEPT OF YOUTH & COMM DEV SRVS,1,COMMUNITY COORDINATOR,2025-12-16,"• Preferred candidate will have a degree in finance, accounting or a related field.  • Candidate should have related budget/financial experience, including a working knowledge of city budget.  • Intermediate Proficiency in Excel is required (SUMIF, SUMIFS, IF, VLOOKUP, XLOOKUP, PIVOT TABLES etc.).  • Experience reviewing and reconciling complex financial data from multiple sources will be required to succeed in this position.  • Experience with NYC’s Financial Management System, PASSPort, and HHSA is preferred.  • Strong analytical skills will also be considered a preferred asset.",62868,97593,80230
DEPT OF HEALTH/MENTAL HYGIENE,2,FAMILY PUB HEALTH NURSE (HMH),2026-01-13,,103169,103169,103169
DEPT OF HEALTH/MENTAL HYGIENE,1,PUBLIC HEALTH ADVISER (SCHOOL,2025-11-26,,51750,59509,55630
DEPT OF DESIGN & CONSTRUCTION,1,CONSTRUCTION PROJECT MANAGER,2025-12-23,"Please note the following preferred skills for this position: 1.	Should have three years or more of inspection experience and knowledge of various types of capital construction and consultant contracts. 2.	Possess construction experience related to infrastructure work (i.e., roadway, sewer, and/or water main) 3.	Outstanding verbal and written communication skills 4.	Proficiency in Microsoft Office and AutoCAD 5.	Familiarity with NYC DOT, NYS DOT, NYC DEP specifications, MUTCD, and AASHTO standards 6.	Comprehensive understanding of the NYC infrastructure system and current engineering practices 7.	Proficiency in Primavera P6 scheduling and Envision Sustainability Professional (ENV SP) credential (preferred) 8.	Valid driver's license (required) 9.	Personal vehicle (preferred)",78740,90551,84646
CONSUMER AND WORKER PROTECTION,1,CLERICAL ASSOCIATE,2025-12-26,"•	Excellent verbal, written and professional interpersonal communication skills; •	Good computer skills; Computer literate (MS Word, Excel & Outlook); •	Ability to work in a fast paced environment; Pay strict attention to detail; •	Complete assignments within set deadline; •	Able to work independently, within a team, and with supervision; and •	Language skills a plus.",46503,53479,49991
DEPT OF ENVIRONMENT PROTECTION,1,ASSOCIATE PUBLIC HEALTH SANITA,2026-01-12,"1. Excellent interpersonal and team skills. 2. Excellent oral communication skills; good written communication skills. 3. Proficiency in Microsoft office tools, specifically Excel and Word. 4. Strong time management and prioritizing skills. 5. Driver's License required.",85623,125589,105606
DEPT OF HEALTH/MENTAL HYGIENE,1,ADMINISTRATIVE PUBLIC HEALTH N,2025-12-09,,68213,125000,96606
DEPT OF DESIGN & CONSTRUCTION,1,ADMIN ARCHITECT (NON MGRL) M-1,2025-12-18,"Candidates should thoroughly understand building construction methods, materials, and assemblies, especially older 19th and 20th centuries buildings. Expertise in the forensic diagnosis of deterioration, distress, and failure issues is highly desirable, as well as an up-to-date understanding of construction and material costs. At least 5 years of prior relevant field inspection experience is required. This position requires a person with the physical ability to conduct site visits, including accessing stairs, catwalks, ladders, rooftops, and basements within multi-level buildings, and maneuver through confined spaces. The candidate must be able to communicate both verbally and in writing effectively. A valid motor vehicle driver’s license is required.",60443,80785,70614
